slot,signature,profit_sol,fee_lamports,protocols,is_mev_tip,signer
324115988,5jYg2tw7Z9gEN1FrahnU3gtEiwd9yJNSWmBoiu2naG8mg2MvYugC1UAQpKjnvYc98XazgfdvDqDQDJq5pt3MjSPr,2.30552,5000,Unknown,No,HA4xNP5bW1p88U6AEmj3UnZLHEp9TZT2mTKMopVaEKMo
324115988,3jKiYisxikTugpMRHPQ4om7hicLZfpCCNQo7c9gnZowst2uANvJm44aWi1NixtwM2oiqtvMZq5MxBgductQb2mTB,2.149664,5000,Unknown,No,FF8fd6oJe8THEwUAgX77dME52sCDLARq9HMzFrwqgyQX
324115988,5j4tYYTVwfJEPwsSKZ6xrA3VW4BrRwbM8ThnVVVu7Ps56Y56oxWz5NsVYxxbL5zAc3hNVX5NzoqKQyzHrx8R2mep,0.293118,5000,Unknown,No,7ifVtMjEz8PsVMWsEByG14iw6fftsZBkPKPaoLYWY3Z9
324115988,4DfoeU6ps9AwAyuT8hpkrd4DoE8PqmWjC76nQ1S56TLttiQVbde1XBnxp5CRC34NVrXvtrdordGLwz9xvWKPtYrx,0.343214,5000,Unknown,No,EMTbMu2RxND25Vz2gnGA5HyQFtaN42fQs8rk2GMLA5s1
324115988,5ZBREX6zpbm5H9nBqyomnQYhn9kSXbj6EcqsMuDE3gtM33fmeXESyjLcN8Ee4Sdf7ziQ67ZGyVuXPSjzsGQ7AgWE,0.042349,5000,Unknown,No,82JSySD6rfgmfDz52w3mDtRysFPtiUU5W1hg9WfRk2eg
324115988,MucFh89XvAj9Tq9gcEP3gF9LnHwo4FVTruCSAapuRX7tkrbuxFDJMq9xuFRn9wkEkU3wvvjPrGfPy9PpmDGHUyQ,0.048239,5000,Unknown,No,CjQn1E2CntpsxyoaXx3Xa22ZEPE7niM8xsa9JDHkNexK
324115988,MC68rkrzTPbytJi2VDmmZmHWvNqCH7do5GjkwxFmPtVQDDybtCjkUVfe9EiCoQCk1qXmmYKfFxssRcEN9vjUCmC,0.686623,5000,Unknown,No,BTi82gwYyoUX1w81as9GVuSbUeUeedMGmzqwS1fjqfBS
324115988,5xHdxrR5NS2YuuAToBaDmyyodwhwr4hu16KYLcs4zFNDb1styufrd9zTbT5rHnRjKxXSjTxygvQAenUPwbBem9gi,0.466365,5000,Unknown,No,Enqx9VYTVuqpvQr1Rx3bTB1jkv2S73vzZ6qF5gAg2pgz
324115988,G1CoNgA1GJDZq3LDRbxCWXz2pCSaMX1G837E8imgpnr6nc4dFKKEfBhsKeJsbAs7XxBBZgizBhW3njmDgMjChkD,0.081374,5000,Unknown,No,EPZmEn3XUGkFhdv5EKvu2soYUmWe9AG21bBemqoh7Kp3
324115988,dWET15QRvX2TGS9hMfuhMRFjno4mG7qLFu4JHJTHijAy6CmVD24kAq8UjyurTo16J7uZRgCgu4tsn7LWUkSXWob,0.064508,5000,Unknown,No,CWdwL1LhsUZgd3B9YCGWUf9uAsUvwzVsdYTiZs2Tno5Y
324115988,4fz2DdZhoQsEwBvGZHsXEKxnnjyoroBHk25z64VeRPR6RcASqgzu1fgfkyRVZiSrYBmz5eaCgxx1RV8yqVPQxnDq,0.183391,5000,Unknown,No,Bt5mJiADRxeXck3FL9jUHpb8uFiYTJoMTGabkydJB5uY
324115988,3HhU1KWLrfyLKCtXaz81wYV7SNETSnRZPhSn9gbuzABWouKu3Jq8YVQPMRWiw6nCyeZDdksFfWUxWCtZgXxfre7F,0.170109,5000,Unknown,No,23Q3bmbAk28ZrHQnaUr2jvXWknWxAvZ5m8FRxcTou699
324115988,2MwLiyPS4DzkExnKCpttMvUTa2QKLwHoC9dRM2jqXEdhscZFSFpr9RgHLeQ3adNzzqNHy3gUNz1ZMgVbagjNuXbr,0.374558,5000,Unknown,No,DWRR2E37TJup6q6zSbWGWmMKLMyoJBUR85psJbqZLogL
324115988,3tAJtjTB2M9GpQShh8bAG3ZAnuj7MPYwfcpfCW3VDa31FmXbPuqp32bidSqRH8Bdf1L4A78ARRDeXzaDZV3uKybk,0.466795,5000,Unknown,No,3tCHFNyv3MicCWJdUgGxidfnAtsUxY6gS4A3yLKNZAaX
324115988,2QVjCprj69LSDo7mMeZJwoUuoQe639Q5MYNTNMyKnBQWHNr2vnoDL3uyvzrFizx2eQaJynZF3RLL7xf1Wbi4g2TS,0.136794,5000,Unknown,No,BhQqkPQnhbS5oXVnm9gdr2HMza58ZyzXWGjMQd8h8N6g
324115988,f44Stt4MiGefhCg79GghLqtMAuGTt7iG2SKe7F8wfxEGAY7VqRhxgrmpyLD956K76G4x83N53MH5Ahxmi1zcvwG,0.284563,5000,Unknown,No,2WrRDqM1Q2Ktyjp453so6NfHS4GX2UYX1EFbyBzLUycM
324115988,4ctoYxAV1jVVgCZQ6ngSPJfqRLwxuwoJwHCh33Qj6WsgmenCVuJLixRTZiyC6oDbvLv65zjP8AEf16ZUTsAxBEma,0.139303,5000,Unknown,No,E9FL76BG9smQcMXJEkjn3CDcApKJvEvZ88qjn8JwUPzG
324115988,5wAFEXr42uqGGax9w4nQR6rPTxRqC3DopTQQkNwzDF8yr4t44orJZ8Dxz5KS4VGQJ8Xus3UVuucuehpCwALf6z8a,0.142473,5000,Unknown,No,GtPs134nrqCpJXzizMS2jsmm56B4Ncp9sWhLBsk1jvZh
