actor,trades,net_pnl_sum,net_pnl_abs_sum,size_sum,trade_share,cum_trade_share
HFu2wc9EevD6QGqY498Mm9qS1nqJfG1uxN8exi8dTdVF|0xc2e7c158c1578f038fa5ea27b941e58c0e8166a9,5,4.350366999999999,6.220219,707.884378,0.00016271274691659346,0.9889029906602882
CCvqYAMnPyR9ehvu8WTkaxATtWmuu7F7W1JKbJD1izQV|0x80db158ec0de7814ad1d80095076916c5f92ddc5,5,134.104222,134.104222,18366.714274,0.00016271274691659346,0.9890657034072048
BET52Sa8ei2tkPwvnAB9fsQgEqS4jGUryNxryGDMznr7|0x7cf9bd1a3665a24a8960a6f13a4d5674d316fd7a,4,422.53413,523.7623159999999,5212.579951,0.00013017019753327477,0.989195873604738
911GMGNZ3oKpL4CmYXn5fRic4NTEUC5MS5UJtPYj3S7E|0xd37f8a671b166dfe050de3941851c8b31a805c6d,4,167.06336800000003,167.06336800000003,17000.0,0.00013017019753327477,0.9893260438022713
8u7aopqLQxhur6ntxKKZkv6LDpE5pgmn3HwBTt5QSSda|0xb3f096844c7d4a515d7e16a7cb784a94b0fbc600,4,504.404389,505.129837,910.0,0.00013017019753327477,0.9894562139998045
4vSr1Uh3y1yuKGkHhHKvw8GVezAV6eEoPBCeNgWKhakp|0x6c6c7df82ad0f07e75a0cd85b2d248dc99879d68,4,85.789352,86.425148,832.411335,0.00013017019753327477,0.9895863841973378
52CJQwrxAjJtV2ypnfxF1E2i4mWT4uhqn8envNeCRw9x|0xccdf3a72ce978d7e501c86408f15897278608117,4,146.048007,146.048007,36571.03419400001,0.00013017019753327477,0.989716554394871
6qBLfNG7o1JF1h7MnyvZJDeiwWuUccNqJ8BCGthZ7J7r|0x76677ab31b9fb6570e97e0a44c9234a802e759f1,4,0.0,0.0,0.0,0.00013017019753327477,0.9898467245924043
B8FMQDrHzNCPriEc6uCJe9UjM4x8EJNjLq9hnaLEEcJR|0x7a1e49db3d088f8e935645a5f4b33657d456634a,4,0.0,0.0,2382.266084,0.00013017019753327477,0.9899768947899376
BBNL1y8n13AtERjVk1yGFnHzmqpps85V2YAWkF4smTX7|0xc63b3dea3d1118597d9dba4e374ead615d528647,4,0.0,0.0,3985.536251,0.00013017019753327477,0.9901070649874708
6B1aNKMRn858GMbWqjzif9aorX1wNrsy8Ec7qRR3Z1Bf|0x64e82c71e163faadf0efdf430cbb8d1d6d53b86b,4,0.0,0.0,0.0,0.00013017019753327477,0.9902372351850041
UKSXRCfD1mfv6rCx8V4coUtgS1jVqr8P4H26tYeR7xK|0x83162f1b647e19be0dbff3667930da83e079ad56,4,0.0,0.0,0.0,0.00013017019753327477,0.9903674053825373
bGj16Mfh792zsmCGYnVZEwVs4XQW1u5d6NffPgVTVUx|0x7aac8600e6c931edccd69b321bb915b1e8c8a657,4,118.206951,118.206951,4000.0,0.00013017019753327477,0.9904975755800706
4a9nktsCmEBjSVu5aXuSBPWHxXfzfYyf2bLNhWv4XCdL|0x39b2bfba187473504479d6382c6b7d228cac0cdd,3,-233310.60664100002,233310.60664100002,255742.427569,9.762764814995606e-05,0.9905952032282205
2QewJLmvagV4GXsTqhJscyge2BtyNuCeP3Bgpq1y1YVp|0xbf5e3ff5691b4aef4efdc9d55f40c5249bdfbee9,3,0.0,0.0,49.078703999999995,9.762764814995606e-05,0.9906928308763704
4C7uscQMgNXZtWqbniSFkwSuPV26mMM2UTQ9PWTu7P56|0x5f7f3e256ab61566db3a8047b4405a52aa3517b2,3,194.68080700000002,199.662191,1081.82267,9.762764814995606e-05,0.9907904585245203
G4FrfcW149BaaY3KhhaNj3QHFcbuxT1WT8KacarkVXNN|0xbab04a0614a1747f6f27403450038123942cf87b,3,0.0,0.0,0.0,9.762764814995606e-05,0.9908880861726702
FHuPcAwAvpfaDXq2UMwhNrDBuicxWtSJax7KypCDWPtw|0xf6f0da7eafc5816766e4170d17a682a1a061010f,3,7.645548,7.645548,610.0,9.762764814995606e-05,0.9909857138208201
2ocmJqPef1ybX5s3KcDoo1hwcEhoPe6tsvg5H5iAGq77|0x429814368c0be105eb08d883d43eba8544bcdbf3,3,22.728312,22.728312,105.0,9.762764814995606e-05,0.99108334146897
AZZHB7JriJpFsUUinLedgrXer6ixFDULyiwgX8RBr5AP|0x57f99c9f17088fa8e0125991650dbb8505ea4c88,3,70.763286,125.19843800000001,6047.608939,9.762764814995606e-05,0.99118096911712
BNkS1KorCqa5HyFGwU3U59XVRLkkfRPkjrvct9QJEnf3|0x76719a5ad390be31d83edcf5d895d11807177f8e,3,2.504008,18.215457999999998,120.834875,9.762764814995606e-05,0.9912785967652699
2j5eFcTLTBsgMB4xVzQt9Fi5dJVYn7hZaSJeqyPn22uL|0x947ebecd725e07bac225363f328de957aa5819b3,3,0.0,0.0,24134.921199,9.762764814995606e-05,0.9913762244134198
6Jbxakh3sYCV7qmELU8qZPXLjhsLRdBG29gz9EvNfrXJ|0x23fc1659a255caa326ca8c090431331513517da7,3,0.0,0.0,7570.122179999999,9.762764814995606e-05,0.9914738520615697
6Jbxakh3sYCV7qmELU8qZPXLjhsLRdBG29gz9EvNfrXJ|0x0c4c3b51039f2f667933b7010bf4da9cdb2f8ca0,3,0.0,0.0,0.0,9.762764814995606e-05,0.9915714797097196
5epEib9Wjm4CPvkGy9fPYQH6Rad3RxSAWZUsJqT1DRfm|0x5057537dcb44b2530908c57a6cab6604f3f48d2c,3,7.568968999999999,7.568968999999999,550.0,9.762764814995606e-05,0.9916691073578695
